comparison,u_family,double_family,route,allocation,ratio,metric,u_mean_gap,double_mean_gap,required_u_gap,criterion_applicable,criterion_passed,criterion
original_gate5_semantics,u_positive,double_original,pretrained,global,0.02,nll,0.17150999218316618,0.18055855293704104,0.14444684234963284,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.02,ece,-0.09722702278701051,-0.0956259497241592,-0.07650075977932737,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.05,accuracy,0.33562691131498473,0.3318042813455658,0.26544342507645263,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.05,nll,0.17150999218316618,0.18055855293704104,0.14444684234963284,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.05,ece,-0.09722702278701051,-0.0956259497241592,-0.07650075977932737,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.1,accuracy,0.33562691131498473,0.3318042813455658,0.26544342507645263,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.1,nll,0.17150999218316618,0.18055855293704104,0.14444684234963284,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.1,ece,-0.09722702278701051,-0.0956259497241592,-0.07650075977932737,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.2,accuracy,0.33562691131498473,0.3318042813455658,0.26544342507645263,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.2,nll,0.17150999218316618,0.18076909385872178,0.14461527508697744,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.2,ece,-0.09722702278701051,-0.09516825170641713,-0.07613460136513371,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.3,accuracy,0.33562691131498473,0.3318042813455658,0.26544342507645263,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.3,nll,0.17150999218316618,0.18076311626018735,0.14461049300814988,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,global,0.3,ece,-0.09722702278701051,-0.09589657694758302,-0.07671726155806642,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.0,accuracy,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.0,nll,0.0,0.0,0.0,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.0,ece,0.0,0.0,0.0,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.001,accuracy,0.33562691131498473,0.33295107033639143,0.26636085626911316,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.001,nll,0.17139945464032139,0.1651100043309938,0.13208800346479505,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.001,ece,-0.0964650047480976,-0.09843381372735975,-0.0787470509818878,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.005,accuracy,0.3363914373088685,0.33562691131498473,0.2685015290519878,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.005,nll,0.17268702232874134,0.16913255402072125,0.135306043216577,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.005,ece,-0.09596636176167106,-0.09528801081815837,-0.0762304086545267,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.01,accuracy,0.3360091743119266,0.33715596330275227,0.26972477064220185,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.01,nll,0.17335531006165605,0.17590791123722674,0.1407263289897814,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.01,ece,-0.0939229839933603,-0.09182229341411878,-0.07345783473129502,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.02,accuracy,0.3371559633027523,0.33639143730886856,0.26911314984709483,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.02,nll,0.17482357989392874,0.17991937450859527,0.1439354996068762,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.02,ece,-0.09339279770929969,-0.09385100756897669,-0.07508080605518136,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.05,accuracy,0.33562691131498473,0.3333333333333333,0.26666666666666666,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.05,nll,0.1755351435153856,0.1918671415486467,0.15349371323891736,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.05,ece,-0.0931234551177735,-0.09192909920904833,-0.07354327936723867,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.1,accuracy,0.33486238532110096,0.33562691131498473,0.2685015290519878,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.1,nll,0.16519912598876776,0.20651180545488992,0.16520944436391194,True,False,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.1,ece,-0.0936089225668567,-0.0877948974255756,-0.07023591794046048,False,,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.2,accuracy,0.3318042813455658,0.33142201834862384,0.26513761467889907,True,True,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.2,nll,0.1276361206802753,0.21458510603379763,0.1716680848270381,True,False,u_gap>=0 and u_gap>=0.8*double_gap
original_gate5_semantics,u_positive,double_original,pretrained,layer_balanced,0.2,ece,-0.10109026702344803,-0.08325767585470456,-0.06660614068376365,False,,u_gap>=0 and u_gap>=0.8*double_gap
