state_id,phase,rule,scope,group_count,absolute_bias,relative_l1_bias,mean_estimate_mse,spearman,topk_overlap,dominance_fraction,nonzero_reference_fraction,nonzero_spearman,relative_error_p50,relative_error_p90,relative_error_p95,relative_error_p99
step-000010,middle,left,layer,9,0.0004045587422590926,0.05394593499234622,2.2463733423793062e-07,0.8833333333333333,1.0,0.740677117448402,1.0,0.8833333333333333,0.21732523618107705,0.30413410364743265,0.31400917104545006,0.32190922496386404
step-000010,middle,left,module,9,0.00040455874225909247,0.053945934992346206,4.205809836744351e-07,1.0,1.0,0.7406771174484018,1.0,1.0,0.1280912344912584,0.28972349702453126,0.2956353158061499,0.30036477083144475
step-000010,middle,trapezoid,parameter,14067712,2.1185659721675614e-11,0.0019237210733085998,2.5745621904349784e-20,0.9997738303228317,0.9989493677724607,0.00037498965398686233,0.5442182779971612,0.9999845057010532,0.0009945066689359882,0.005603244023496228,0.012598370445501716,0.05807382921956094
step-000010,middle,trapezoid,layer,9,8.379428362030652e-06,0.001117355900324678,1.428818094535132e-10,1.0,1.0,0.776565724436614,1.0,1.0,0.0025424259065991383,0.005610607836883534,0.005648506622361871,0.005678825650744541
step-000010,middle,trapezoid,module,9,6.933968055387883e-06,0.0009246108188545838,1.3208908013959866e-10,1.0,1.0,0.7765657244366142,1.0,1.0,0.00163408681817395,0.0027001390797876086,0.002817947240559757,0.0029121937691774756
step-000010,middle,simpson,parameter,14067712,1.2556549424720627e-14,1.1401721283978766e-06,8.292861238230422e-27,0.9999966723613134,1.0,0.00037471971659876733,0.5442182779971612,0.9999999999922332,3.900608782640073e-07,2.5522876741978073e-06,5.674986074932376e-06,2.991593392444997e-05
step-000010,middle,simpson,layer,9,5.525966301780541e-09,7.368606527227975e-07,5.575904115653309e-17,1.0,1.0,0.7770104592471038,1.0,1.0,1.3406836685921872e-06,5.515024202891157e-06,5.831185589438186e-06,6.08411469867581e-06
step-000010,middle,simpson,module,9,5.410403380376229e-09,7.214509008267179e-07,7.427193820447364e-17,1.0,1.0,0.7770104592471039,1.0,1.0,6.88788036601726e-07,3.638822711200358e-06,3.6417494274482838e-06,3.6440908004466244e-06
step-000010,middle,gauss_legendre,parameter,14067712,0.0,0.0,0.0,0.9999999999999999,1.0,0.0003747198452619667,0.5442182779971612,1.0,0.0,0.0,0.0,0.0
step-000010,middle,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.7770099246492311,1.0,1.0,0.0,0.0,0.0,0.0
step-000010,middle,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.7770099246492311,1.0,1.0,0.0,0.0,0.0,0.0
step-000012,middle,left,parameter,14067712,2.65069691698272e-10,0.03468050083726446,6.682706055709686e-18,0.99575914517829,0.976742499850722,0.00023824456651855454,0.5448996965533557,0.9976697404165674,0.026658348274457733,0.10031389442019567,0.19433620923081865,0.7944605572654474
step-000012,middle,left,layer,9,0.0001669789829849512,0.027224541118012372,3.629699523389326e-08,0.9833333333333333,1.0,0.9480236363885882,1.0,0.9833333333333333,0.4006137079091406,0.6662155685958404,0.7410666444939336,0.8009475052124082
step-000012,middle,left,module,9,0.0001669789829849512,0.027457875126541166,6.425894698942508e-08,0.9333333333333332,1.0,0.9558411134109798,1.0,0.9333333333333332,0.2753155407188825,0.8788842706909326,1.240392935807047,1.5295998678999392
step-000012,middle,trapezoid,parameter,14067712,5.2014050962828795e-12,0.00068052794961532,1.669929233897748e-21,0.9999262346693383,0.9994640211775611,0.00023707886940168126,0.5448996965533557,0.9999979183214638,0.00039845416422187624,0.0019348057460943787,0.003832469523331369,0.018055197669473652
step-000012,middle,trapezoid,layer,9,3.6008562889761677e-06,0.0005870898142200335,2.3613797689467763e-11,1.0,1.0,0.930217626500939,1.0,1.0,0.005963244712056246,0.011445399126192761,0.013985315912086403,0.016017249340801322
step-000012,middle,trapezoid,module,9,3.600856288976192e-06,0.0005921215985621341,2.947884051430922e-11,1.0,1.0,0.9382225513499679,1.0,1.0,0.003325997979249936,0.013060679874743571,0.01661998630870944,0.01946743145588214
step-000012,middle,simpson,parameter,14067712,2.5787168316145376e-15,3.3738746465090087e-07,8.894665856115699e-28,0.9999951233623687,1.0,0.0002370630514937579,0.5448996965533557,0.9999999999996233,2.178498308831763e-07,6.792264710089126e-07,1.2616598172369758e-06,6.752531019554417e-06
step-000012,middle,simpson,layer,9,1.014922597829096e-09,1.6547472922797928e-07,1.5311700880045545e-18,1.0,1.0,0.9299019201486238,1.0,1.0,2.3815331229780415e-06,4.461072582604115e-06,5.37900857683964e-06,6.113357372228062e-06
step-000012,middle,simpson,module,9,1.014922597874271e-09,1.668929673505559e-07,2.484490659210825e-18,1.0,1.0,0.9378718335541305,1.0,1.0,1.9473101445849685e-06,5.426881216351558e-06,7.529710065683039e-06,9.211973145148229e-06
step-000012,middle,gauss_legendre,parameter,14067712,0.0,0.0,0.0,1.0,1.0,0.00023706305946566826,0.5448996965533557,1.0,0.0,0.0,0.0,0.0
step-000012,middle,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.9299020443689517,1.0,1.0,0.0,0.0,0.0,0.0
step-000012,middle,gauss_legendre,module,9,0.0,0.0,0.0,1.0,1.0,0.9378719774749378,1.0,1.0,0.0,0.0,0.0,0.0
step-000014,middle,left,parameter,14067712,1.7454905210970667e-10,0.024851251642133504,3.573667193073436e-18,0.995953490903737,0.9831514986081611,0.0003547304980677205,0.5447724548242102,0.9988111684025608,0.01878530051710079,0.07274450609588852,0.16024240539743126,0.9433675098244398
step-000014,middle,left,layer,9,0.00010945964681843048,0.023336407439610046,1.5493519759123658e-08,1.0,1.0,0.9045975849238183,1.0,1.0,0.3375660616618997,3.028483536484492,6.195465825129164,8.729051656044907
step-000014,middle,left,module,9,0.00010945964681843048,0.023336407439610053,2.539684596730409e-08,0.9833333333333333,1.0,0.9045975849238186,1.0,0.9833333333333333,0.2989303087172017,0.6523417345919311,0.8006645504068655,0.9193228030588132
step-000014,middle,trapezoid,parameter,14067712,2.8122845367680227e-12,0.000400396277537943,5.52928834549421e-22,0.9999453987721529,0.9997099743241975,0.00035526554331266564,0.5447724548242102,0.9999993773784851,0.00023571115248956684,0.0011568346777792267,0.0025757731091887214,0.014047966211859738
step-000014,middle,trapezoid,layer,9,1.837661152859529e-06,0.0003917828226707994,5.9314753713748796e-12,1.0,1.0,0.9211058962324926,1.0,1.0,0.004601104977405055,0.04710878578195168,0.09880728058546387,0.1401660764282737
step-000014,middle,trapezoid,module,9,1.8376611528594641e-06,0.00039178282267078574,7.550168185151543e-12,1.0,1.0,0.9211058962324926,1.0,1.0,0.0032260385828315123,0.010399193791806052,0.013843797036619447,0.016599479632470167
step-000014,middle,simpson,parameter,14067712,1.7783384343802676e-15,2.531892061486831e-07,8.17512187705179e-28,0.9999949249623982,1.0,0.00035526024351386194,0.5447724548242102,0.9999999999997937,2.044213057697117e-07,5.693389846490445e-07,8.682356780310355e-07,4.448200737960392e-06
step-000014,middle,simpson,layer,9,3.617337209333885e-10,7.712034289997714e-08,2.625928406580325e-19,1.0,1.0,0.9213534520959712,1.0,1.0,5.228049730128041e-07,8.24031753465825e-06,1.7662858181726614e-05,2.5200890699381322e-05
step-000014,middle,simpson,module,9,3.6189285514695926e-10,7.715426974839492e-08,3.0602368487849864e-19,1.0,1.0,0.9213534520959712,1.0,1.0,7.662277775449422e-07,1.2406675837363457e-06,1.27643225190881e-06,1.3050439864467814e-06
step-000014,middle,gauss_legendre,parameter,14067712,0.0,0.0,0.0,1.0,1.0,0.00035526018212761717,0.5447724548242102,1.0,0.0,0.0,0.0,0.0
step-000014,middle,gauss_legendre,layer,9,0.0,0.0,0.0,1.0,1.0,0.9213534077755007,1.0,1.0,0.0,0.0,0.0,0.0
