checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.0003377702087163925,4,1,1696646656,0.00017297081649303436,20,41254,0.19873980339616537,4,0.00025955680757761
step-000000,0.00033373385667800903,4,1,1696646656,0.00016962271183729172,21,41255,0.1971849286928773,4,0.00025763921439647675
step-000000,0.00034464988857507706,4,1,1696646656,0.00016950257122516632,22,41256,0.1983378753066063,4,0.00025962572544813156
step-000000,0.0003397054970264435,4,1,1696646656,0.00016987044364213943,23,41257,0.1986631229519844,4,0.0002595093101263046
step-000000,0.0003377702087163925,4,1,1696646656,0.0001699337735772133,24,41258,0.19862043298780918,4,0.00025993306189775467
step-000000,0.00033662375062704086,4,1,1696646656,0.00017005670815706253,25,41259,0.19857743848115206,4,0.0002624504268169403
step-000000,0.0003372468054294586,4,1,1696646656,0.00017048604786396027,26,41260,0.19888859521597624,4,0.00025760941207408905
step-000000,0.0003377273678779602,4,1,1696646656,0.0001713000237941742,27,41261,0.1971435258165002,4,0.00025703851133584976
step-000000,0.0003373660147190094,4,1,1696646656,0.00016841385513544083,28,41262,0.19841346237808466,4,0.000257653184235096
step-000000,0.0003389185294508934,4,1,1696646656,0.00017248932272195816,29,41263,0.20045758318156004,4,0.0002598855644464493
step-000000,0.0003386400640010834,4,1,1696646656,0.00016978569328784943,30,41264,0.1966123078018427,4,0.0002577155828475952
step-000000,0.00033651385456323624,4,1,1696646656,0.0001677805557847023,31,41265,0.19681082013994455,4,0.0002600327134132385
step-000000,0.0003363611176609993,4,1,1696646656,0.00017000362277030945,32,41266,0.1987004429101944,4,0.00025869347155094147
step-000000,0.0003377702087163925,4,1,1696646656,0.0001679128035902977,33,41267,0.19889274146407843,4,0.0002575535327196121
step-000000,0.0003398517146706581,4,1,1696646656,0.00018045026808977127,34,41268,0.1985151832923293,4,0.00025863852351903915
step-000000,0.0003364626318216324,4,1,1696646656,0.00017073191702365875,35,41269,0.19880294613540173,4,0.00025937333703041077
step-000000,0.0003362707793712616,4,1,1696646656,0.00016837194561958313,36,41270,0.19856325257569551,4,0.0002575647085905075
step-000000,0.00034384988248348236,4,1,1696646656,0.00017010048031806946,37,41271,0.19813655503094196,4,0.00026070792227983475
step-000000,0.00033616460859775543,4,1,1696646656,0.00016784388571977615,38,41272,0.19880308397114277,4,0.0002583339810371399
step-000000,0.00033978186547756195,4,1,1696646656,0.0001678774133324623,39,41273,0.19889803603291512,4,0.00025629904121160507
step-000000,0.0003359690308570862,4,1,1696646656,0.0001819021999835968,40,41274,0.1985600395128131,4,0.0002593565732240677
step-000000,0.0003366926684975624,4,1,1696646656,0.0001691887155175209,41,41275,0.20040001813322306,4,0.00025679636746644974
step-000000,0.0003402251750230789,4,1,1696646656,0.00016895215958356857,42,41276,0.19881336111575365,4,0.0002583330497145653
step-000000,0.0003381967544555664,4,1,1696646656,0.0001702466979622841,43,41277,0.1985607286915183,4,0.0002614380791783333
step-000000,0.00034673139452934265,4,1,1696646656,0.00017017312347888947,44,41278,0.19896311033517122,4,0.0002578301355242729
step-000000,0.000341036356985569,4,1,1696646656,0.00017135776579380035,45,41279,0.19732032530009747,4,0.0002575386315584183
step-000000,0.00033428706228733063,4,1,1696646656,0.00016991794109344482,46,41280,0.19669359177350998,4,0.00025930721312761307
step-000000,0.000338495709002018,4,1,1696646656,0.00016766879707574844,47,41281,0.1969212368130684,4,0.0002598511055111885
step-000000,0.0003381893038749695,4,1,1696646656,0.00016814470291137695,48,41282,0.19861362781375647,4,0.0002595437690615654
step-000000,0.0003362642601132393,4,1,1696646656,0.00017045717686414719,49,41283,0.19888338260352612,4,0.00025949906557798386
step-000000,0.0003386056050658226,4,1,1696646656,0.0001674797385931015,50,41284,0.19866538234055042,4,0.0002585044130682945
step-000000,0.00033259205520153046,4,1,1696646656,0.00016990862786769867,51,41285,0.19726151321083307,4,0.000266500748693943
step-000000,0.0003366367891430855,4,1,1696646656,0.00017282366752624512,52,41286,0.19665459357202053,4,0.0002582576125860214
step-000000,0.00033907778561115265,4,1,1696646656,0.00016961432993412018,53,41287,0.1971629587933421,4,0.00026053842157125473
step-000000,0.0003358423709869385,4,1,1696646656,0.0001674490049481392,54,41288,0.19774887431412935,4,0.0002568187192082405
step-000000,0.0003353971987962723,4,1,1696646656,0.00016665272414684296,55,41289,0.19507458433508873,4,0.0002586608752608299
step-000000,0.0003396458923816681,4,1,1696646656,0.00016793888062238693,56,41290,0.19584057480096817,4,0.00025730300694704056
