checkpoint,double_formula_seconds,microbatch_count,microbatch_size,peak_memory_bytes_for_checkpoint_m,raw_formula_seconds,repetition,seed,shared_gradient_seconds,total_sample_budget,u_formula_seconds
step-000000,0.0003358731046319008,4,1,1809892864,0.0001703444868326187,104,41338,0.19935447722673416,4,0.00025867391377687454
step-000000,0.0003392668440937996,4,1,1809892864,0.00017084181308746338,105,41339,0.19783100578933954,4,0.00026035774499177933
step-000000,0.0003353934735059738,4,1,1809892864,0.00016969069838523865,106,41340,0.19928180426359177,4,0.00025924108922481537
step-000000,0.0003371741622686386,4,1,1809892864,0.00017062202095985413,107,41341,0.19961194973438978,4,0.0002600075677037239
step-000000,0.00033655110746622086,4,1,1809892864,0.00017808564007282257,108,41342,0.19951850175857544,4,0.0002555316314101219
step-000000,0.00033895205706357956,4,1,1809892864,0.0001712581142783165,109,41343,0.1977042155340314,4,0.00026000384241342545
step-000000,0.00034702662378549576,4,1,1809892864,0.0001688869670033455,110,41344,0.19950623624026775,4,0.00025964807718992233
step-000000,0.0003362223505973816,4,1,1809892864,0.000170084647834301,111,41345,0.19976878259330988,4,0.0002579912543296814
step-000000,0.00034940335899591446,4,1,1809892864,0.00017012469470500946,112,41346,0.19789713993668556,4,0.0002592364326119423
step-000000,0.00034218188375234604,4,1,1809892864,0.0001707533374428749,113,41347,0.19843363482505083,4,0.00025679729878902435
step-000000,0.00033922307193279266,4,1,1809892864,0.00017134379595518112,114,41348,0.19869969133287668,4,0.00025682616978883743
step-000000,0.00033640675246715546,4,1,1809892864,0.00016871094703674316,115,41349,0.19934790953993797,4,0.00025585293769836426
step-000000,0.00033748429268598557,4,1,1809892864,0.00016965623944997787,116,41350,0.19965934287756681,4,0.00025465432554483414
step-000000,0.0003392118960618973,4,1,1809892864,0.00016850419342517853,117,41351,0.19823883194476366,4,0.0002592559903860092
step-000000,0.00033816974610090256,4,1,1809892864,0.0001709936186671257,118,41352,0.19825380574911833,4,0.0002591703087091446
step-000000,0.00033659860491752625,4,1,1809892864,0.00016920175403356552,119,41353,0.19788078404963017,4,0.00025806762278079987
step-000000,0.0003382693976163864,4,1,1809892864,0.00017021596431732178,120,41354,0.19962640292942524,4,0.00025876425206661224
step-000000,0.0003406396135687828,4,1,1809892864,0.00017211772501468658,121,41355,0.1995215816423297,4,0.00025943387299776077
step-000000,0.0003387732431292534,4,1,1809892864,0.00017385929822921753,122,41356,0.19891740940511227,4,0.00025741104036569595
step-000000,0.00033907126635313034,4,1,1809892864,0.00016982387751340866,123,41357,0.19879358354955912,4,0.00025799963623285294
step-000000,0.0003420943394303322,4,1,1809892864,0.00017020106315612793,124,41358,0.19767773058265448,4,0.00026991870254278183
step-000000,0.00033901631832122803,4,1,1809892864,0.00016955193132162094,125,41359,0.19971976708620787,4,0.0002591283991932869
step-000000,0.0003387853503227234,4,1,1809892864,0.00016845297068357468,126,41360,0.19807505514472723,4,0.0002605356276035309
step-000000,0.0003379872068762779,4,1,1809892864,0.0001711258664727211,127,41361,0.19948330987244844,4,0.00025912467390298843
step-000000,0.0003373585641384125,4,1,1809892864,0.00017075147479772568,128,41362,0.19978815875947475,4,0.0002599945291876793
