absolute_bias,checkpoint,dominance_fraction,estimator,formula_seconds,group_count,mean_estimate_mse,microbatch_count,microbatch_size,reference_sample_count,relative_l1_bias,repetition_mse,repetition_variance,repetitions,scope,spearman,topk_overlap
1.655597997112857e-12,step-000012,0.008377913341824425,u_statistic,0.051749114878475666,14067712,5.266139022992091e-20,16,1,4096,0.07596230462575557,2.3632957017200687e-18,2.3222455391860884e-18,200,parameter,0.5385020264386711,0.7540369015021624
1.093995915259406e-06,step-000012,0.9595059375553716,u_statistic,0.051749114878475666,9,9.322983536614169e-12,16,1,4096,0.03211278570830642,,,200,layer,1.0,1.0
1.093995915259397e-06,step-000012,0.9595059375553713,u_statistic,0.051749114878475666,9,9.33008880764111e-12,16,1,4096,0.03211278570830616,,,200,module,1.0,1.0
1.8860458906923906e-12,step-000012,0.008333285049083946,double,0.06771136354655027,14067712,5.942709071137575e-20,16,1,4096,0.08653573677714692,2.468102055446586e-18,2.4207788590303626e-18,200,parameter,0.5180606885155513,0.7301424822217104
1.0463305110205724e-06,step-000012,0.9582983029525256,double,0.06771136354655027,9,9.142779607752494e-12,16,1,4096,0.030713631570095105,,,200,layer,1.0,1.0
1.042396144488123e-06,step-000012,0.9582983029525257,double,0.06771136354655027,9,9.14315174784332e-12,16,1,4096,0.030598143506938576,,,200,module,1.0,1.0
3.5554795086952744e-12,step-000012,0.007525713228388126,raw,0.03427664004266262,14067712,1.0534169562802157e-20,32,1,4096,0.16313284867530042,1.424188454165542e-18,1.4207580749776282e-18,200,parameter,0.7794744694696596,0.6599136178428345
5.457585358281783e-06,step-000012,0.9101311920613839,raw,0.03427664004266262,9,1.052668468327649e-10,32,1,4096,0.16020011286215516,,,200,layer,0.6333333333333333,1.0
5.457585358281784e-06,step-000012,0.9101311920613837,raw,0.03427664004266262,9,1.1212356946517025e-10,32,1,4096,0.16020011286215524,,,200,module,0.9833333333333333,1.0
7.754183284624767e-13,step-000012,0.008469645275084765,u_statistic,0.05179536063224077,14067712,4.321773557106424e-21,32,1,4096,0.035577817430184795,1.3215588678875785e-18,1.3238563762115252e-18,200,parameter,0.6247346811179582,0.8323125566900678
2.064920928924533e-07,step-000012,0.9576449753633106,u_statistic,0.05179536063224077,9,2.788291077792526e-13,32,1,4096,0.006061298983865692,,,200,layer,0.9833333333333333,1.0
2.0649209289246683e-07,step-000012,0.9576449753633101,u_statistic,0.05179536063224077,9,2.7991226509128944e-13,32,1,4096,0.006061298983866091,,,200,module,1.0,1.0
8.08846914518992e-13,step-000012,0.008454483865923769,double,0.0676801111549139,14067712,4.406546842418212e-21,32,1,4096,0.03711159099216151,1.3160927243287605e-18,1.3182775653128993e-18,200,parameter,0.5976469570862912,0.8031365423821344
2.2792368863443848e-07,step-000012,0.9575425165388342,double,0.0676801111549139,9,3.441280301303962e-13,32,1,4096,0.006690394789297681,,,200,layer,0.9833333333333333,1.0
2.2792368863445015e-07,step-000012,0.9575425165388338,double,0.0676801111549139,9,3.454909569192563e-13,32,1,4096,0.006690394789298025,,,200,module,1.0,1.0
2.0350619986738578e-11,step-000016,0.0036922834616326806,raw,0.03410248551517725,14067712,4.28312143759308e-19,4,1,4096,1.2925074518793902,1.1382910555430091e-17,1.1009646644895255e-17,200,parameter,0.6933958296975434,0.5643714830832572
3.180817261757184e-05,step-000016,0.7858783364073003,raw,0.03410248551517725,9,4.051077904344377e-09,4,1,4096,1.292448275320007,,,200,layer,0.03333333333333333,1.0
3.180817261757197e-05,step-000016,0.7858783364072986,raw,0.03410248551517725,9,4.2160723890190875e-09,4,1,4096,1.2924482753200122,,,200,module,0.8333333333333333,1.0
2.3358449669793485e-12,step-000016,0.006451958527605994,u_statistic,0.05166136007755995,14067712,5.2463081808849563e-20,4,1,4096,0.14835405644757566,5.502241685170015e-18,5.477164425488602e-18,200,parameter,0.41656536601786354,0.6129081329454951
3.8996696552685904e-07,step-000016,0.9597169876118579,u_statistic,0.05166136007755995,9,8.923633170773931e-13,4,1,4096,0.015845365846277302,,,200,layer,0.8833333333333333,1.0
3.736843030230311e-07,step-000016,0.959707970081789,u_statistic,0.05166136007755995,9,8.905855515131205e-13,4,1,4096,0.015183759179220149,,,200,module,1.0,1.0
2.5697122956803636e-12,step-000016,0.006310240300998156,double,0.06759700179100037,14067712,5.681043829288459e-20,4,1,4096,0.16320742530288157,5.53146073351947e-18,5.502161100730239e-18,200,parameter,0.4079855288912631,0.5923475872422823
3.34836929373237e-07,step-000016,0.9595555339001687,double,0.06759700179100037,9,6.935551789015886e-13,4,1,4096,0.013605289970126017,,,200,layer,0.9833333333333333,1.0
3.348369293732367e-07,step-000016,0.9595555339001689,double,0.06759700179100037,9,6.962499081397899e-13,4,1,4096,0.013605289970126003,,,200,module,1.0,1.0
9.94054718813212e-12,step-000016,0.005059103501042469,raw,0.034199418500065804,14067712,1.0044970154932003e-19,8,1,4096,0.6313434836281153,5.503320290606875e-18,5.430020692520144e-18,200,parameter,0.6968619159763371,0.5788372245111504
1.553704070426784e-05,step-000016,0.8414268146023591,raw,0.034199418500065804,9,9.773383692797743e-10,8,1,4096,0.631310125961604,,,200,layer,0.26666666666666666,1.0
1.5537040704267844e-05,step-000016,0.8414268146023591,raw,0.034199418500065804,9,1.0164953292600924e-09,8,1,4096,0.6313101259616041,,,200,module,0.8333333333333333,1.0
8.715385387889703e-13,step-000016,0.007108602474274353,u_statistic,0.05176017340272665,14067712,1.4339190532542707e-21,8,1,4096,0.055353107508217446,3.524206759024958e-18,3.540475216051969e-18,200,parameter,0.4516396844230168,0.6823095711316404
9.889476075320645e-08,step-000016,0.9601381976613672,u_statistic,0.05176017340272665,9,1.1694093345758462e-14,8,1,4096,0.0040183497653385036,,,200,layer,0.9833333333333333,1.0
9.908426248987857e-08,step-000016,0.9601381976613673,u_statistic,0.05176017340272665,9,2.035311955251237e-14,8,1,4096,0.004026049710748027,,,200,module,1.0,1.0
1.1139185992666926e-12,step-000016,0.007064415220717012,double,0.06768077053129673,14067712,2.83418271049057e-21,8,1,4096,0.07074713651365218,3.841590960683883e-18,3.8580470130385834e-18,200,parameter,0.4383308432230521,0.6580270292556292
2.1740700688717067e-07,step-000016,0.960755318329627,double,0.06768077053129673,9,1.6674607911035147e-13,8,1,4096,0.008833808671504203,,,200,layer,0.9,1.0
2.1740700688716762e-07,step-000016,0.9607497495675311,double,0.06768077053129673,9,1.7778261612108544e-13,8,1,4096,0.008833808671504077,,,200,module,1.0,1.0
5.038719287275367e-12,step-000016,0.0056238595196628,raw,0.034223091788589954,14067712,3.430003588851174e-20,16,1,4096,0.3200188608983769,1.6042946989827235e-18,1.577884083511769e-18,200,parameter,0.728230490310237,0.6021970866636527
7.871313871285104e-06,step-000016,0.8850905656541176,raw,0.034223091788589954,9,2.5132155795662844e-10,16,1,4096,0.319831829377864,,,200,layer,0.65,1.0
7.871313871285077e-06,step-000016,0.8850905656541183,raw,0.034223091788589954,9,2.6141521613469255e-10,16,1,4096,0.3198318293778628,,,200,module,0.9833333333333333,1.0
9.604082651498369e-13,step-000016,0.006878481688262462,u_statistic,0.05185062065720558,14067712,1.0825086984469923e-20,16,1,4096,0.06099739665728286,1.3672248100707616e-18,1.363215802096772e-18,200,parameter,0.543356446379277,0.7277583005632754
2.059774702628857e-07,step-000016,0.9559532893347491,u_statistic,0.05185062065720558,9,2.1417789922525352e-13,16,1,4096,0.008369397053918747,,,200,layer,0.8833333333333333,1.0
