task,route,estimator,score_type,balance,metric,comparison,min_fraction,max_fraction,point_count,gap_auc
sst2,pretrained,u_statistic,signed,global,accuracy,random_minus_high,0.0,0.3,9,0.09996639908256882
sst2,pretrained,u_statistic,signed,global,ece,low_minus_high,0.0,0.3,9,-0.02904149953787393
sst2,pretrained,u_statistic,signed,global,ece,random_minus_high,0.0,0.3,9,-0.020419217835314966
sst2,pretrained,u_statistic,signed,global,nll,low_minus_high,0.0,0.3,9,0.05133529688645758
sst2,pretrained,u_statistic,signed,global,nll,random_minus_high,0.0,0.3,9,0.06992085007083024
sst2,pretrained,u_statistic,signed,layer_balanced,accuracy,low_minus_high,0.0,0.3,9,0.10075191131498472
sst2,pretrained,u_statistic,signed,layer_balanced,accuracy,random_minus_high,0.0,0.3,9,0.09932306001529051
sst2,pretrained,u_statistic,signed,layer_balanced,ece,low_minus_high,0.0,0.3,9,-0.02517301289628037
sst2,pretrained,u_statistic,signed,layer_balanced,ece,random_minus_high,0.0,0.3,9,-0.02078856153202564
sst2,pretrained,u_statistic,signed,layer_balanced,nll,low_minus_high,0.0,0.3,9,0.05994090823908921
sst2,pretrained,u_statistic,signed,layer_balanced,nll,random_minus_high,0.0,0.3,9,0.06879654754860845
