seed,score,scope,group,spearman,sample_size,population_size,tail_definition
1234,u_signed,layer_within,layer-0004,0.5719910559038055,1000000,7087872,
1234,u_signed,layer_within,layer-0005,0.6021327505656048,1000000,7087872,
1234,u_signed,layer_within,layer-0006,0.6082048212690963,1000000,7087872,
1234,u_signed,layer_within,layer-0007,0.596925931918849,1000000,7087872,
1234,u_signed,layer_within,layer-0008,0.5629668693064839,1000000,7087872,
1234,u_signed,layer_within,layer-0009,0.45581578853029786,1000000,7087872,
1234,u_signed,layer_within,layer-0010,0.43234320900619483,1000000,7087872,
1234,u_signed,layer_within,layer-0011,0.3633819507753416,1000000,7087872,
1234,u_signed,layer_within,layernorm-final,-0.009393884746290734,1536,1536,
1234,u_signed,module_sum_rank,sum,0.8564722617354196,75,75,
1234,u_signed,module_within,embedding-input,0.032837887585620375,1000000,38633472,
1234,u_signed,module_within,embedding-output,0.19009516632234813,1000000,38633472,
1234,u_signed,module_within,layer-0000/attention-output,0.2682233442017951,590592,590592,
1234,u_signed,module_within,layer-0000/attention-qkv,0.13376950407848853,1000000,1771776,
1234,u_signed,module_within,layer-0000/layernorm-input,0.7700617199735516,1536,1536,
1234,u_signed,module_within,layer-0000/layernorm-post-attention,0.7051154747763633,1536,1536,
1234,u_signed,module_within,layer-0000/mlp-input,0.1244411779508223,1000000,2362368,
1234,u_signed,module_within,layer-0000/mlp-output,0.30386662104930123,1000000,2360064,
1234,u_signed,module_within,layer-0001/attention-output,0.18931236515744285,590592,590592,
1234,u_signed,module_within,layer-0001/attention-qkv,0.5803016803365665,1000000,1771776,
1234,u_signed,module_within,layer-0001/layernorm-input,0.38005492636571514,1536,1536,
1234,u_signed,module_within,layer-0001/layernorm-post-attention,0.5231625271002566,1536,1536,
1234,u_signed,module_within,layer-0001/mlp-input,0.5429687224708106,1000000,2362368,
1234,u_signed,module_within,layer-0001/mlp-output,0.415077708347951,1000000,2360064,
1234,u_signed,module_within,layer-0002/attention-output,0.0999057495307429,590592,590592,
1234,u_signed,module_within,layer-0002/attention-qkv,0.5777691737347531,1000000,1771776,
1234,u_signed,module_within,layer-0002/layernorm-input,0.28953187021970545,1536,1536,
1234,u_signed,module_within,layer-0002/layernorm-post-attention,0.24392061360285908,1536,1536,
1234,u_signed,module_within,layer-0002/mlp-input,0.4162492158234983,1000000,2362368,
1234,u_signed,module_within,layer-0002/mlp-output,0.2188630600573902,1000000,2360064,
1234,u_signed,module_within,layer-0003/attention-output,0.06776326132493,590592,590592,
1234,u_signed,module_within,layer-0003/attention-qkv,0.6228055865325026,1000000,1771776,
1234,u_signed,module_within,layer-0003/layernorm-input,0.24857857763124153,1536,1536,
1234,u_signed,module_within,layer-0003/layernorm-post-attention,0.2812689344168491,1536,1536,
1234,u_signed,module_within,layer-0003/mlp-input,0.3774021220516878,1000000,2362368,
1234,u_signed,module_within,layer-0003/mlp-output,0.13147712801729874,1000000,2360064,
1234,u_signed,module_within,layer-0004/attention-output,0.05510148752473954,590592,590592,
1234,u_signed,module_within,layer-0004/attention-qkv,0.5100583602946586,1000000,1771776,
1234,u_signed,module_within,layer-0004/layernorm-input,0.24398913393619703,1536,1536,
1234,u_signed,module_within,layer-0004/layernorm-post-attention,0.2857626265208463,1536,1536,
1234,u_signed,module_within,layer-0004/mlp-input,0.3273719869912957,1000000,2362368,
1234,u_signed,module_within,layer-0004/mlp-output,0.13075249337346173,1000000,2360064,
1234,u_signed,module_within,layer-0005/attention-output,0.051835814892449344,590592,590592,
1234,u_signed,module_within,layer-0005/attention-qkv,0.5573817611511733,1000000,1771776,
1234,u_signed,module_within,layer-0005/layernorm-input,0.32032008992649297,1536,1536,
1234,u_signed,module_within,layer-0005/layernorm-post-attention,0.2358514109882401,1536,1536,
1234,u_signed,module_within,layer-0005/mlp-input,0.337229199996565,1000000,2362368,
1234,u_signed,module_within,layer-0005/mlp-output,0.13374305308576237,1000000,2360064,
1234,u_signed,module_within,layer-0006/attention-output,0.0810596688068635,590592,590592,
1234,u_signed,module_within,layer-0006/attention-qkv,0.5905729648056901,1000000,1771776,
1234,u_signed,module_within,layer-0006/layernorm-input,0.2294196664151791,1536,1536,
1234,u_signed,module_within,layer-0006/layernorm-post-attention,0.1825596901033995,1536,1536,
1234,u_signed,module_within,layer-0006/mlp-input,0.32037692517826544,1000000,2362368,
1234,u_signed,module_within,layer-0006/mlp-output,0.11133320785500488,1000000,2360064,
1234,u_signed,module_within,layer-0007/attention-output,0.10808024013037781,590592,590592,
1234,u_signed,module_within,layer-0007/attention-qkv,0.6007290884620435,1000000,1771776,
1234,u_signed,module_within,layer-0007/layernorm-input,0.2827738927306674,1536,1536,
1234,u_signed,module_within,layer-0007/layernorm-post-attention,0.24430488636435882,1536,1536,
1234,u_signed,module_within,layer-0007/mlp-input,0.3227742663109358,1000000,2362368,
1234,u_signed,module_within,layer-0007/mlp-output,0.10220516981873083,1000000,2360064,
1234,u_signed,module_within,layer-0008/attention-output,0.12572028657046008,590592,590592,
1234,u_signed,module_within,layer-0008/attention-qkv,0.5571150967268074,1000000,1771776,
1234,u_signed,module_within,layer-0008/layernorm-input,0.32963382599462976,1536,1536,
1234,u_signed,module_within,layer-0008/layernorm-post-attention,0.2513976103030778,1536,1536,
1234,u_signed,module_within,layer-0008/mlp-input,0.3138290096982411,1000000,2362368,
1234,u_signed,module_within,layer-0008/mlp-output,0.09329437624794143,1000000,2360064,
1234,u_signed,module_within,layer-0009/attention-output,0.06172310271893936,590592,590592,
1234,u_signed,module_within,layer-0009/attention-qkv,0.4312895625333708,1000000,1771776,
1234,u_signed,module_within,layer-0009/layernorm-input,0.29276087705755327,1536,1536,
1234,u_signed,module_within,layer-0009/layernorm-post-attention,0.2380688106775541,1536,1536,
1234,u_signed,module_within,layer-0009/mlp-input,0.20438155734602542,1000000,2362368,
1234,u_signed,module_within,layer-0009/mlp-output,0.05808556743070274,1000000,2360064,
1234,u_signed,module_within,layer-0010/attention-output,0.03441837943605342,590592,590592,
1234,u_signed,module_within,layer-0010/attention-qkv,0.42960621438315055,1000000,1771776,
