intervention,score,model_state,allocation,requested_ratio,requested_count,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,seed,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,nll_change,ece_change,provenance_id,artifact_path
pretrain_high,u_positive,unfinetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.41989159146580124,-0.3652171075511223,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.2,24713625,123568128,49,13442267,0.1087842570537283,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.2,24713625,123568128,49,11271358,0.09121573809065069,1234,0.8302752293577982,0.567943437657225,0.11009345392537218,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.002293577981651418,0.055776357650756836,0.0047088399860120145,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.4908256880733945,1.057143713356158,0.35519246420291845,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.05589506057424276,-0.01919896046970959,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.8325688073394495,0.5154022771284121,0.0997001481814106,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.004587155963302725,0.003235197121943978,-0.005684465757949564,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,8615,6.971862517816892e-05,1234,0.8279816513761468,0.511738364302784,0.10646796830401217,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.0,-0.00042871570368419043,0.0010833543646520116,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,114942,0.0009301913192372713,1234,0.8337155963302753,0.5158654265447494,0.1006571545015924,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.005733944954128489,0.003698346538281272,-0.004727459437767756,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
