task,route,estimator,score_type,balance,fraction,metric,seed,comparison,left_mean,high_mean,gap,left_mask_n,high_mask_n,direction
sst2,direct,double,positive,global,0.01,accuracy,2027,low_minus_high,0.8153669724770642,0.4908256880733945,0.32454128440366975,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,accuracy,2027,random_minus_high,0.8185779816513762,0.4908256880733945,0.3277522935779817,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,1234,low_minus_high,0.12611321291899547,0.009174317121505737,-0.11693889579748973,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,1234,random_minus_high,0.11103921869519144,0.009174317121505737,-0.1018649015736857,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,1337,low_minus_high,0.10736184040623353,0.009174317121505737,-0.0981875232847278,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,1337,random_minus_high,0.12101300584296651,0.009174317121505737,-0.11183868872146077,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,2027,low_minus_high,0.11031951733509227,0.009174317121505737,-0.10114520021358653,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,ece,2027,random_minus_high,0.10814545458797238,0.009174317121505737,-0.09897113746646664,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,1234,low_minus_high,0.5766241003613953,0.6931471824645996,0.11652308210320428,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,1234,random_minus_high,0.5406618999026784,0.6931471824645996,0.15248528256192118,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,1337,low_minus_high,0.5377915824225189,0.6931471824645996,0.1553556000420807,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,1337,random_minus_high,0.552351582474118,0.6931471824645996,0.14079559999048163,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,2027,low_minus_high,0.5315057841736243,0.6931471824645996,0.16164139829097535,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.01,nll,2027,random_minus_high,0.5216912326394418,0.6931471824645996,0.17145594982515777,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,accuracy,1234,low_minus_high,0.8130733944954128,0.4908256880733945,0.32224770642201833,1,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,accuracy,1234,random_minus_high,0.8186926605504586,0.4908256880733945,0.32786697247706414,20,1,positive_means_high_pruning_is_more_harmful
sst2,direct,double,positive,global,0.02,accuracy,1337,low_minus_high,0.8188073394495413,0.4908256880733945,0.3279816513761468,1,1,positive_means_high_pruning_is_more_harmful
