rule,scope,phase,mse_n,mse_mean,mse_std,mse_ci_low,mse_ci_high,mean_squared_error_n,mean_squared_error_mean,mean_squared_error_std,mean_squared_error_ci_low,mean_squared_error_ci_high,mean_estimate_mse_n,mean_estimate_mse_mean,mean_estimate_mse_std,mean_estimate_mse_ci_low,mean_estimate_mse_ci_high,absolute_bias_n,absolute_bias_mean,absolute_bias_std,absolute_bias_ci_low,absolute_bias_ci_high,spearman_n,spearman_mean,spearman_std,spearman_ci_low,spearman_ci_high,nonzero_spearman_n,nonzero_spearman_mean,nonzero_spearman_std,nonzero_spearman_ci_low,nonzero_spearman_ci_high,topk_overlap_n,topk_overlap_mean,topk_overlap_std,topk_overlap_ci_low,topk_overlap_ci_high,relative_error_p50_n,relative_error_p50_mean,relative_error_p50_std,relative_error_p50_ci_low,relative_error_p50_ci_high,relative_error_p90_n,relative_error_p90_mean,relative_error_p90_std,relative_error_p90_ci_low,relative_error_p90_ci_high,relative_error_p95_n,relative_error_p95_mean,relative_error_p95_std,relative_error_p95_ci_low,relative_error_p95_ci_high,relative_error_p99_n,relative_error_p99_mean,relative_error_p99_std,relative_error_p99_ci_low,relative_error_p99_ci_high
left,layer,late,0,,,,,0,,,,,7,1.122263017347186e-10,1.9299575468458904e-10,5.162762842077281e-12,2.540361079829152e-10,7,5.763353803681245e-06,8.050737800760722e-06,8.947280490618231e-07,1.1742426236362061e-05,7,0.9976190476190476,0.006299407883487139,0.9928571428571429,1.0,7,0.9976190476190476,0.006299407883487139,0.9928571428571429,1.0,7,1.0,0.0,1.0,1.0,7,0.06642711346933547,0.09972836993640541,0.01219920512128506,0.14164800155490379,7,0.16307084106926387,0.2569063022664543,0.03256069194096864,0.3630661559731733,7,0.24774186329950001,0.4559183622353404,0.03575178934197874,0.6017725303248591,7,0.31547868108368904,0.6168220629048052,0.03697987020518122,0.7915229657454471
left,layer,middle,0,,,,,0,,,,,7,6.362899587685355e-08,6.857114461770167e-08,2.1723372269891913e-08,1.1635336946135863e-07,7,0.0001906044312385245,0.00011817571449352657,0.00011360110546771968,0.0002721198748657523,7,0.9357142857142857,0.0741798187018916,0.8832738095238098,0.9833333333333334,7,0.9357142857142857,0.0741798187018916,0.880952380952381,0.9833333333333334,7,1.0,0.0,1.0,1.0,7,0.3933341125138502,0.3944917469248705,0.17018576052376094,0.6887948583943373,7,1.2708083756993038,1.266266802032527,0.4959099825871792,2.1244566296638707,7,1.6890256583857768,1.9124489274719385,0.5689550122551498,3.084727137780639,7,2.0235994845349556,2.509578103103396,0.6133819237716044,3.8865273338059665
left,module,early,0,,,,,0,,,,,6,0.00011397913013023774,0.00019759391600153035,7.354590349740983e-06,0.00027621620592252575,6,0.004224740608448019,0.004458296913928513,0.0013701296122055199,0.0077965581349951464,6,0.7583333333333334,0.24489226656271165,0.5805555555555556,0.9194444444444444,6,0.7583333333333334,0.24489226656271165,0.5887500000000012,0.9194444444444446,6,0.8333333333333334,0.408248290463863,0.5,1.0,6,0.946758295652658,0.9080651149852608,0.41253877120519283,1.6972425040650825,6,6.657012546804406,8.332228683651243,1.460203290995041,13.451211759435465,6,12.8191574838854,17.47743184490127,2.1431586512945064,27.481459784066818,6,17.74887343355021,24.81013299548305,2.7043380655626446,36.657057223724706
left,module,late,0,,,,,0,,,,,7,1.9155363833510366e-10,3.3019147109342814e-10,8.51152287878478e-12,4.343964310919982e-10,7,5.7633538036812576e-06,8.050737800760742e-06,8.477141326702307e-07,1.17099618324068e-05,7,0.988095238095238,0.024933774718103225,0.969047619047619,1.0,7,0.988095238095238,0.024933774718103225,0.969047619047619,1.0,7,1.0,0.0,1.0,1.0,7,0.05250259069750325,0.06804678882507263,0.012678115540374683,0.10313505491405475,7,0.14156758975046468,0.1898706789465078,0.032796765217969856,0.2859663686425472,7,0.17646361096347257,0.23586397384538274,0.04743118917254996,0.3604944126368765,7,0.204380427933879,0.272895688776076,0.05630901000531381,0.41459058739260474
left,module,middle,0,,,,,0,,,,,7,1.140801608131489e-07,1.244937239718535e-07,3.9043658783158655e-08,2.0615521132027388e-07,7,0.00019060443123852444,0.00011817571449352656,0.00011335053458591615,0.0002751102781431715,7,0.9285714285714286,0.07918232927769477,0.8690476190476188,0.9761904761904762,7,0.9285714285714286,0.07918232927769477,0.8690476190476188,0.9761904761904762,7,1.0,0.0,1.0,1.0,7,0.35608709267065297,0.3300096906775021,0.17594053637536328,0.6071519574016397,7,1.613087024745797,1.471589917017976,0.677485739359197,2.6652666218763366,7,2.088631794377264,2.0192429565539802,0.822958808408938,3.547182864200145,7,2.469067610082438,2.4871309180605383,0.8875418212892247,4.254253389792257
left,parameter,early,0,,,,,0,,,,,6,4.915290694877856e-15,9.726559993116582e-15,3.7303379510643043e-16,1.3013324810232169e-14,6,7.925258856576432e-09,1.0032584973047173e-08,2.37139828351399e-09,1.6280595808127247e-08,6,0.9200569441641587,0.08714935852417392,0.8485861843750767,0.9666496196495796,6,0.929263223165438,0.1010355921567365,0.8456888927569391,0.9799116861133675,6,0.9164827941793933,0.03338582782831064,0.8911498570249243,0.9397407682268342,6,0.2072050697004253,0.18021035902511748,0.10538048010127658,0.35601573703415496,6,1.0405552390610175,0.8375231138740385,0.522671060272912,1.7265030780287542,6,2.232632422266587,1.7732020164729247,1.1199925483918387,3.6541408941064923,6,13.716384579162387,11.254113835660757,6.003304126306304,21.611172131675417
left,parameter,late,0,,,,,0,,,,,7,1.5784314940017775e-20,2.884586434039113e-20,6.966390173515134e-22,3.768012316006339e-20,7,8.115309031566438e-12,1.1561541761630605e-11,1.2250730952912062e-12,1.6665358964744685e-11,7,0.9994175659896356,0.0004904100362933059,0.9990752555542907,0.9997441411933939,7,0.9998452687424529,0.00019988174426996825,0.9996954852905395,0.9999706129630681,7,0.9966953727093963,0.0034009872974795482,0.9941580542445502,0.9989059045409328,7,0.002809637978265976,0.0029030468005555254,0.0009616358861697078,0.004935067309224749,7,0.012730601335011787,0.013131446988111648,0.004364391240912674,0.022154799875515403,7,0.026035884868743326,0.025881809232049198,0.00959909977764023,0.045020393723359815,7,0.13281544717021115,0.11072604894890957,0.06009494134409788,0.20972546486609683
left,parameter,middle,0,,,,,0,,,,,7,1.2227284580868113e-17,1.4574157488690784e-17,3.4471500412441925e-18,2.2971619796436568e-17,7,3.070820859571115e-10,2.193468310859728e-10,1.6554963002535367e-10,4.664422571704648e-10,7,0.993409066150738,0.0033373056504079767,0.9911502174465848,0.9956426616416175,7,0.9967895853163035,0.0018812672450390646,0.9954143071910043,0.9980020078236729,7,0.9763273650598675,0.007876277245283829,0.9709878867567534,0.9815078572992436,7,0.02531180005213655,0.01184725958152776,0.017552463805706242,0.033542267574208584,7,0.11508019487856473,0.047744311657606855,0.08120458677126886,0.14724647666176938,7,0.252239016420332,0.11971359912875942,0.17389440046037585,0.3359344872427072,7,1.2869415004184226,0.732969775037281,0.8128720805841698,1.8145472713030624
simpson,layer,early,0,,,,,0,,,,,6,8.48345496756804e-09,2.0757735142614125e-08,1.7107462874628225e-12,2.5433567784175865e-08,6,2.969892695693844e-05,6.894604161434266e-05,6.065519592963726e-07,8.607538043477494e-05,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0014120362459475993,0.002319886593365724,0.00018875024605571422,0.0033254410744402996,6,0.0043379272181914025,0.00488586511333938,0.0009809150117076862,0.007796069720724674,6,0.0058705111882734855,0.006309400281578719,0.0016457039699725711,0.010664715065848785,6,0.007096578364339154,0.0075600338416915375,0.0021309957069728025,0.012701528489489687
simpson,layer,late,0,,,,,0,,,,,7,7.29389039206825e-21,1.1729918804056063e-20,9.47285565726497e-22,1.62486913330835e-20,7,2.3920282086816923e-11,2.57822850928282e-11,7.752034117357919e-12,4.278210434489254e-11,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,6.136412945300833e-08,4.548698648053617e-08,3.313822729755267e-08,9.439282849389847e-08,7,2.266013845562806e-07,1.732361296340261e-07,1.177838549619187e-07,3.5488169879206287e-07,7,2.8296167933538666e-07,2.1531235109764214e-07,1.4270443274379558e-07,4.3461112778270467e-07,7,3.2804991515867176e-07,2.519592481370447e-07,1.6567929581868177e-07,5.066034475257431e-07
