task,route,estimator,score_type,balance,mode,fraction,metric,training_seed_n,mask_row_n,seeds,value_n,value_mean,value_std,value_ci_low,value_ci_high
sst2,direct,double,positive,layer_balanced,low,0.1,ece,3,3,1234;1337;2027,3,0.1066339315739017,0.0018842086603262774,0.10475702883596838,0.10852536214510855
sst2,direct,double,positive,layer_balanced,low,0.1,nll,3,3,1234;1337;2027,3,0.5191680266541807,0.01654203749625731,0.507358197430405,0.5380742856121938
sst2,direct,double,positive,layer_balanced,low,0.2,accuracy,3,3,1234;1337;2027,3,0.8203363914373089,0.004027390578307611,0.8165137614678898,0.8245412844036698
sst2,direct,double,positive,layer_balanced,low,0.2,ece,3,3,1234;1337;2027,3,0.10316359695370525,0.00664947520098898,0.098949591076535,0.11082911914645766
sst2,direct,double,positive,layer_balanced,low,0.2,nll,3,3,1234;1337;2027,3,0.4963270398796698,0.018700559241429188,0.4800964741531862,0.5167767245561705
sst2,direct,double,positive,layer_balanced,low,0.3,accuracy,3,3,1234;1337;2027,3,0.8157492354740062,0.006316021269823543,0.8096330275229358,0.8222477064220183
sst2,direct,double,positive,layer_balanced,low,0.3,ece,3,3,1234;1337;2027,3,0.08942861124293043,0.006763257376354236,0.08243868482196559,0.09593975528534804
sst2,direct,double,positive,layer_balanced,low,0.3,nll,3,3,1234;1337;2027,3,0.4768204282319874,0.021567527634949513,0.45260858617791344,0.49397593107792215
sst2,direct,magnitude,positive,global,high,0.0,accuracy,3,3,1234;1337;2027,3,0.8146024464831804,0.006520918237473971,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,high,0.0,ece,3,3,1234;1337;2027,3,0.11290184830907207,0.007911690067749102,0.10554803269136448,0.1212729958458999
sst2,direct,magnitude,positive,global,high,0.0,nll,3,3,1234;1337;2027,3,0.5437913840744838,0.01670989282012893,0.5261339113936512,0.5593566448863493
sst2,direct,magnitude,positive,global,high,0.001,accuracy,3,3,1234;1337;2027,3,0.8149847094801222,0.006719570271883354,0.8073394495412844,0.819954128440367
sst2,direct,magnitude,positive,global,high,0.001,ece,3,3,1234;1337;2027,3,0.11252773823884854,0.007259620397263,0.10675624219178581,0.12067841393010825
sst2,direct,magnitude,positive,global,high,0.001,nll,3,3,1234;1337;2027,3,0.5384217922202673,0.017405450387958005,0.5198732614517212,0.5543978266212919
sst2,direct,magnitude,positive,global,high,0.005,accuracy,3,3,1234;1337;2027,3,0.8130733944954129,0.008027522935779803,0.8038990825688074,0.8188073394495413
sst2,direct,magnitude,positive,global,high,0.005,ece,3,3,1234;1337;2027,3,0.11086526211089369,0.003605850929505456,0.10734649361312654,0.11455230351813206
sst2,direct,magnitude,positive,global,high,0.005,nll,3,3,1234;1337;2027,3,0.5187552677017468,0.012366655231749417,0.5053682033348521,0.529752756477496
sst2,direct,magnitude,positive,global,high,0.01,accuracy,3,3,1234;1337;2027,3,0.8142201834862387,0.00865806701292519,0.805045871559633,0.8222477064220183
sst2,direct,magnitude,positive,global,high,0.01,ece,3,3,1234;1337;2027,3,0.10386660752599876,0.007295854232409303,0.09711474618133287,0.1116058815571988
sst2,direct,magnitude,positive,global,high,0.01,nll,3,3,1234;1337;2027,3,0.5003677328154217,0.011931230585480797,0.4873858106519104,0.5108532572011335
sst2,direct,magnitude,positive,global,high,0.02,accuracy,3,3,1234;1337;2027,3,0.8134556574923547,0.0046346925278983415,0.8084862385321102,0.8176605504587156
sst2,direct,magnitude,positive,global,high,0.02,ece,3,3,1234;1337;2027,3,0.08907041443565823,0.0032535768848572545,0.08535845603406417,0.09142817662172265
sst2,direct,magnitude,positive,global,high,0.02,nll,3,3,1234;1337;2027,3,0.4778091604465374,0.015366828851072335,0.46288378317968554,0.4935823402820378
sst2,direct,magnitude,positive,global,high,0.05,accuracy,3,3,1234;1337;2027,3,0.8115443425076453,0.003503498237733826,0.8084862385321102,0.8153669724770642
sst2,direct,magnitude,positive,global,high,0.05,ece,3,3,1234;1337;2027,3,0.040781062888703846,0.005160214975751995,0.03520172471845062,0.04538210100924034
sst2,direct,magnitude,positive,global,high,0.05,nll,3,3,1234;1337;2027,3,0.4220897770438355,0.016123548702212935,0.411705610948965,0.44066452214477253
sst2,direct,magnitude,positive,global,high,0.1,accuracy,3,3,1234;1337;2027,3,0.8000764525993883,0.004634692527898401,0.7958715596330275,0.805045871559633
