double_score_sum,endpoint_data_cursor,endpoint_target_tokens,experiment_id,importance_finalized_step,integration_rule,phase,raw_score_sum,step,u_stat_negative_sum,u_stat_positive_sum,u_stat_sum,u_stat_unclipped_sum,clip_factor,data_cursor,double_half_microbatch_count,double_sampling_active,elapsed_seconds,gradient_norm,learning_rate,loss,max_memory_gib,target_tokens,tokens_per_second,tokens_seen
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,35.0,trapezoid,,2.1708443456820367e-05,36.0,-8.349147228914333e-06,2.82629502606701e-05,1.9913804465889612e-05,1.9913804465889612e-05,1.0,36864.0,,False,20.420724325000265,0.6981199383735657,0.0005948314752144288,7.30791374668479,54.13804626464844,2097152.0,102697.23867887202,75497472.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,36.0,trapezoid,,0.00013806742361908986,37.0,-2.4071905556074697e-06,0.00013880167128414722,0.00013639451040950434,0.00013639451040950434,1.0,37888.0,,False,20.690476824000143,0.37653878331184387,0.0005944822417859869,7.23030886426568,54.13804626464844,2097152.0,101358.32140743059,77594624.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,37.0,trapezoid,,7.500890746456323e-05,38.0,-2.2138090140358716e-06,7.576690666441163e-05,7.355311912252832e-05,7.355311912252832e-05,1.0,38912.0,,False,20.424407905000407,0.6135021448135376,0.0005941217015097065,7.222633335739374,54.13804626464844,2097152.0,102678.71704063276,79691776.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,38.0,trapezoid,,6.53395651597638e-05,39.0,-1.9945477430710688e-05,8.362467361894277e-05,6.367920357825546e-05,6.367920357825546e-05,1.0,39936.0,,False,21.37448340499941,0.6787309050559998,0.000593749868228779,7.196612238883972,54.13804626464844,2097152.0,98114.74552453904,81788928.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,39.0,trapezoid,,0.00021540537907675794,40.0,-8.64531524791623e-07,0.00021491436814709275,0.00021404988169006212,0.00021404988169006212,1.0,40960.0,,False,20.728149434999068,0.55323326587677,0.0005933667562199985,7.234597202390432,54.13804626464844,2097152.0,101174.10657311263,83886080.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,40.0,trapezoid,,7.562698240671378e-05,41.0,-5.376695469610433e-06,7.965340142444821e-05,7.427671065157737e-05,7.427671065157737e-05,1.0,41984.0,,False,20.548698972001148,0.44030553102493286,0.0005929723801932136,7.143582586199045,54.13804626464844,2097152.0,102057.65352139798,85983232.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,41.0,trapezoid,,9.680219305477356e-05,42.0,-5.550501095584771e-06,0.00010085077863608224,9.530029829317443e-05,9.530029829317443e-05,1.0,43008.0,,False,20.01537169200128,0.5905392169952393,0.0005925667552907626,7.145659998059273,54.13804626464844,2097152.0,104777.06995759076,88080384.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,42.0,trapezoid,,0.0001599358584666727,43.0,-6.341472517395504e-07,0.0001591648600681797,0.00015853073565626902,0.00015853073565626902,1.0,44032.0,,False,20.946158935999847,0.5038654208183289,0.000592149897086892,7.119835566729307,54.13804626464844,2097152.0,100121.0773969473,90177536.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,43.0,trapezoid,,9.424172289178648e-05,44.0,-1.938633342932753e-06,9.474391094322753e-05,9.280528691287936e-05,9.280528691287936e-05,1.0,45056.0,,False,21.14814415699948,0.3961147665977478,0.0005917218215871588,7.101663753390312,54.13804626464844,2097152.0,99164.82431891774,92274688.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,44.0,trapezoid,,5.948675586043076e-05,45.0,-8.122563323365874e-06,6.633734890609897e-05,5.821479645646329e-05,5.821479645646329e-05,1.0,46080.0,,False,20.620430376000513,0.574310302734375,0.0005912825452278155,7.130844213068485,54.13804626464844,2097152.0,101702.62995290394,94371840.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,45.0,trapezoid,,0.00016329679387391653,46.0,-1.3879507159953164e-06,0.0001634500730824818,0.00016206211687097224,0.00016206211687097224,1.0,47104.0,,False,20.608830560999195,0.5018892288208008,0.0005908320848751798,7.097337879240513,54.13804626464844,2097152.0,101759.87394300368,96468992.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,46.0,trapezoid,,6.252215795112415e-05,47.0,-8.393048523724141e-07,6.201380564246732e-05,6.117450432683745e-05,6.117450432683745e-05,1.0,48128.0,,False,21.179091951000373,0.4010339677333832,0.000590370457824986,7.067884251475334,54.13804626464844,2097152.0,99019.92044096788,98566144.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,47.0,trapezoid,,9.701241117246288e-05,48.0,-6.216616767258698e-07,9.626036128028079e-05,9.563870808649167e-05,9.563870808649167e-05,1.0,49152.0,,False,20.707736488999217,0.5439429879188538,0.0005898976818017217,7.0607151836156845,54.13804626464844,2097152.0,101273.84038878858,100663296.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,48.0,trapezoid,,0.00011662270972416858,49.0,-6.64915541731787e-07,0.0001158223025250673,0.00011515738205959691,0.00011515738205959691,1.0,50176.0,,False,21.155354730999534,0.41205301880836487,0.0005894137749579468,7.016273662447929,54.13804626464844,2097152.0,99131.02506038267,102760448.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,49.0,trapezoid,,6.25858724002165e-05,50.0,-2.8863810883840066e-06,6.411953375504934e-05,6.123314809100924e-05,6.123314809100924e-05,1.0,51200.0,,False,20.689646512000763,0.43992769718170166,0.0005889187558735967,7.017215345054865,54.13804626464844,2097152.0,101362.3890956075,104857600.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,50.0,trapezoid,,7.417340446740344e-05,51.0,-2.0163026276766505e-06,7.487540811692943e-05,7.285911364769172e-05,7.285911364769172e-05,1.0,52224.0,,False,21.175725823999528,0.47502169013023376,0.0005884126435552692,6.979091938585043,54.13804626464844,2097152.0,99035.66080474989,106954752.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,51.0,trapezoid,,9.5605865225258e-05,52.0,-1.3265322098078884e-06,9.55201888896964e-05,9.419368213528577e-05,9.419368213528577e-05,1.0,53248.0,,False,20.778943630999493,0.38438746333122253,0.000587895457435494,6.993648283183575,54.13804626464844,2097152.0,100926.7861370643,109051904.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,52.0,trapezoid,,4.7463624008490905e-05,53.0,-1.4209450006862881e-06,4.757102589665954e-05,4.6150087832857426e-05,4.6150087832857426e-05,1.0,54272.0,,False,20.531062468000528,0.3738401532173157,0.0005873672173719872,6.957134686410427,54.13804626464844,2097152.0,102145.32264312168,111149056.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,53.0,trapezoid,,6.485506520967702e-05,54.0,-1.6453384174545163e-06,6.509528256127585e-05,6.344995304693839e-05,6.344995304693839e-05,1.0,55296.0,,False,21.501685012000962,0.41992443799972534,0.0005868279436468889,6.917423345148563,54.13804626464844,2097152.0,97534.30946595555,113246208.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,54.0,trapezoid,,6.614553049081348e-05,55.0,-2.1672164693025743e-06,6.674384014202688e-05,6.45766312365003e-05,6.45766312365003e-05,1.0,56320.0,,False,20.991229687999294,0.35023123025894165,0.0005862776569659838,6.88880343362689,54.13804626464844,2097152.0,99906.10512917896,115343360.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,55.0,trapezoid,,3.160932866339613e-05,56.0,-3.841666224309301e-06,3.403024120260476e-05,3.0188579550932855e-05,3.0188579550932855e-05,1.0,57344.0,,False,20.60883561999981,0.4034433364868164,0.000585716378457907,6.868715140968561,54.13804626464844,2097152.0,101759.84896326809,117440512.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,56.0,trapezoid,,7.534357838664442e-05,57.0,-4.876556525284148e-07,7.452009428946752e-05,7.403245884537394e-05,7.403245884537394e-05,1.0,58368.0,,False,21.103744324000218,0.35940268635749817,0.000585144129673332,6.8676848486065865,54.13804626464844,2097152.0,99373.45562014867,119537664.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,57.0,trapezoid,,2.8845689075401556e-05,58.0,-7.387801743029472e-07,2.8328764362832784e-05,2.758998486164987e-05,2.758998486164987e-05,1.0,59392.0,,False,20.943256888000178,0.26582515239715576,0.0005845609325841435,6.878819394856691,54.13804626464844,2097152.0,100134.95089207456,121634816.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,58.0,trapezoid,,3.825937705848699e-05,59.0,-6.957492529991002e-07,3.75611144689059e-05,3.6865364732535915e-05,3.6865364732535915e-05,1.0,60416.0,,False,20.272374688000127,0.408010333776474,0.0005839668095825946,6.8425324857234955,54.13804626464844,2097152.0,103448.75882949085,123731968.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,59.0,trapezoid,,3.592501289747044e-05,60.0,-3.2243843918512705e-06,3.7834385776254736e-05,3.461000630545228e-05,3.461000630545228e-05,1.0,61440.0,,False,21.40985749900028,0.3303724229335785,0.0005833617834804456,6.816472966223955,54.13804626464844,2097152.0,97952.6370083465,125829120.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,60.0,trapezoid,,3.573622014958443e-05,61.0,-2.0277507154766936e-06,3.649843960567157e-05,3.447069271504921e-05,3.447069271504921e-05,1.0,62464.0,,False,20.528149120998933,0.37694498896598816,0.0005827458775080888,6.803468342870474,54.13804626464844,2097152.0,102159.81906789409,127926272.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,61.0,trapezoid,,2.7390932049839185e-05,62.0,-3.823320247878584e-06,2.9915048870828107e-05,2.6091729983398603e-05,2.6091729983398603e-05,1.0,63488.0,,False,21.299094962998424,0.4452034533023834,0.0005821191153136574,6.764156810939312,54.13804626464844,2097152.0,98462.02402699504,130023424.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,62.0,trapezoid,,2.2610591042436512e-05,63.0,-9.32341660940441e-06,3.07063103971994e-05,2.138289375552062e-05,2.138289375552062e-05,1.0,64512.0,,False,20.54233302800094,0.4752473831176758,0.0005814815209621155,6.767878383398056,54.13804626464844,2097152.0,102089.28056717824,132120576.0
,65536.0,2097152.0,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,64.0,trapezoid,trapezoid_endpoint,8.006944942556132e-06,64.0,-1.293151781333224e-05,1.9631011484557218e-05,6.699494620352256e-06,6.699494620352256e-06,,,,,,,,,,,,
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,,trapezoid,,,65.0,,,,,1.0,66560.0,,False,15.623207524000463,0.4874946177005768,0.0005801739341261608,6.7326454147696495,54.13804626464844,2097152.0,134233.12701814546,136314880.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,65.0,trapezoid,,5.1684401284492155e-05,66.0,-2.2670156457987e-06,5.249976677618867e-05,5.0232755036329346e-05,5.0232755036329346e-05,1.0,67584.0,,False,19.22102367700063,0.29876530170440674,0.0005795039918474422,6.674842324107885,54.13804626464844,2097152.0,109107.19612241031,138412032.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,66.0,trapezoid,,2.380852858563376e-05,67.0,-2.1365250053035755e-06,2.470287337737187e-05,2.25663480078013e-05,2.25663480078013e-05,1.0,68608.0,,False,20.4092581040004,0.3067004978656769,0.000578823317821074,6.6103361286222935,54.13804626464844,2097152.0,102754.93549610896,140509184.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,67.0,trapezoid,,2.932742444489156e-05,68.0,-6.814686045824268e-07,2.8579686925487777e-05,2.7898220265226356e-05,2.7898220265226356e-05,1.0,69632.0,,False,21.11627232900173,0.20809327065944672,0.0005781319381820031,6.650126852095127,54.13804626464844,2097152.0,99314.49866365417,142606336.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,68.0,trapezoid,,6.675879340352093e-06,69.0,-4.07531521705827e-06,9.430134352902443e-06,5.354819488068499e-06,5.354819488068499e-06,1.0,70656.0,,False,20.604985447000217,0.35358351469039917,0.0005774298794762251,6.646027643233538,54.13804626464844,2097152.0,101778.86344031923,144703488.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,69.0,trapezoid,,2.223567688303986e-05,70.0,-3.4816434765234244e-06,2.4570647784757926e-05,2.1089005825885958e-05,2.1089005825885958e-05,1.0,71680.0,,False,20.808652752000853,0.31389671564102173,0.0005767171686597661,6.58748172223568,54.13804626464844,2097152.0,100782.69001813914,146800640.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,70.0,trapezoid,,7.061405469908455e-06,71.0,-8.503983958157828e-06,1.4251587353826013e-05,5.747603928753643e-06,5.747603928753643e-06,1.0,72704.0,,False,20.368679257000622,0.49172458052635193,0.0005759938330976472,6.589213456958532,54.13804626464844,2097152.0,102959.64571582217,148897792.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,71.0,trapezoid,,3.099011027029317e-05,72.0,-5.467835023244445e-06,3.532224256015855e-05,2.9854410427001578e-05,2.9854410427001578e-05,1.0,73728.0,,False,21.443736649998755,0.42087656259536743,0.0005752599005628339,6.583642851561308,54.13804626464844,2097152.0,97797.88076254526,150994944.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,72.0,trapezoid,,4.3528381168847496e-05,73.0,-2.956734701534342e-06,4.517542781036499e-05,4.22186951951134e-05,4.22186951951134e-05,1.0,74752.0,,False,20.342269822000162,0.4044228196144104,0.0005745153992351695,6.559784058481455,54.13804626464844,2097152.0,103093.31349699877,153092096.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,73.0,trapezoid,,3.721721966230482e-05,74.0,-2.9585884951826603e-06,3.8964595751207753e-05,3.600600885973054e-05,3.600600885973054e-05,1.0,75776.0,,False,21.24203446300089,0.3485516905784607,0.0005737603577002938,6.5378550589084625,54.13804626464844,2097152.0,98726.513397424,155189248.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,74.0,trapezoid,,4.098908674769232e-05,75.0,-4.43358442583767e-06,4.410883071467517e-05,3.967525371469777e-05,3.967525371469777e-05,1.0,76800.0,,False,20.036955077999664,0.4275294542312622,0.000572994804948545,6.514820478856564,54.13804626464844,2097152.0,104664.206304612,157286400.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,75.0,trapezoid,,3.4485266649288485e-05,76.0,-6.974473726982316e-06,4.013477360872639e-05,3.316030002437076e-05,3.316030002437076e-05,1.0,77824.0,,False,21.6216820919999,0.42976242303848267,0.0005722187703738463,6.49219124019146,54.13804626464844,2097152.0,96993.0087343183,159383552.0
,,,stage-b-160m-step512-seed1234-deterministic-trapezoid-v3,76.0,trapezoid,,5.301976992795783e-05,77.0,-2.731441330637032e-06,5.4450917563772516e-05,5.17194815783527e-05,5.17194815783527e-05,1.0,78848.0,,False,20.5777715180011,0.3762170970439911,0.000571432283772578,6.4378142692148685,54.13804626464844,2097152.0,101913.46512742867,161480704.0
