task,route,seed,mask_seed,mask_id,estimator,score_type,balance,mode,fraction,metric,value
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.001,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.001,nll,0.5459347869004678
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.001,ece,0.11189797165960585
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.005,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.005,nll,0.546004149345083
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.005,ece,0.11189965774644267
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.01,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.01,nll,0.5458845669796707
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.01,ece,0.11188358841675355
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.02,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.02,nll,0.5461547675482724
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.02,ece,0.11190293307261784
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.05,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.05,nll,0.5463589041604908
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.05,ece,0.11192450572856477
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.1,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.1,nll,0.5462013499452434
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.1,ece,0.11184911525216573
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.2,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.2,nll,0.5460004300699322
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.2,ece,0.11200647004234315
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.3,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.3,nll,0.5462339759693233
sst2,direct,1234,1234,0,u_statistic,signed,global,low,0.3,ece,0.11199829093002972
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.001,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.001,nll,0.5458758482965854
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.001,ece,0.1086585746071283
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.005,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.005,nll,0.5434780599327262
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.005,ece,0.1079462270075987
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.01,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.01,nll,0.5417340969273804
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.01,ece,0.10796619740084418
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.02,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.02,nll,0.5401930285429736
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.02,ece,0.10861724859039557
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.05,accuracy,0.8176605504587156
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.05,nll,0.5366193512710956
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.05,ece,0.11095274480040623
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.1,accuracy,0.8165137614678899
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.1,nll,0.5320583942833297
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.1,ece,0.10734154170371202
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.2,accuracy,0.8142201834862385
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.2,nll,0.5097458663336728
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.2,ece,0.10293995605315226
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.3,accuracy,0.8176605504587156
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.3,nll,0.4938987047847258
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,low,0.3,ece,0.09759521635508106
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.001,accuracy,0.8176605504587156
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.001,nll,0.5505485679578344
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.001,ece,0.11376544679286782
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.005,accuracy,0.8165137614678899
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.005,nll,0.5603473592515386
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.005,ece,0.11643927598997875
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.01,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.01,nll,0.568450775988605
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.01,ece,0.12268507428336728
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.02,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.02,nll,0.5686261250611839
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.02,ece,0.12271576486579605
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.05,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.05,nll,0.5684034709536702
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.05,ece,0.12269915834056089
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.1,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.1,nll,0.5684559600889136
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.1,ece,0.12279513842986312
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.2,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.2,nll,0.568239294607705
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.2,ece,0.12276654870705106
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.3,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.3,nll,0.5685015856672865
sst2,direct,1234,1234,0,u_statistic,signed,global,negative,0.3,ece,0.12277319838258649
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.001,accuracy,0.8176605504587156
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.001,nll,0.5407433245980412
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.001,ece,0.11543033648555634
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.005,accuracy,0.8188073394495413
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.005,nll,0.542873212093607
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.005,ece,0.11413170525534391
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.01,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.01,nll,0.5455527209907497
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.01,ece,0.1138376997313113
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.02,accuracy,0.8188073394495413
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.02,nll,0.5460808517736032
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.02,ece,0.11349150389828333
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.05,accuracy,0.819954128440367
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.05,nll,0.544363784270549
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.05,ece,0.11704903212905116
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.1,accuracy,0.8222477064220184
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.1,nll,0.5375536346654279
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.1,ece,0.10983528926891051
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.2,accuracy,0.8188073394495413
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.2,nll,0.5106695236962869
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.2,ece,0.10226575408843219
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.3,accuracy,0.8211009174311926
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.3,nll,0.4886155651386725
sst2,direct,1234,1234,0,u_statistic,signed,layer_balanced,negative,0.3,ece,0.09155501669979788
sst2,direct,1234,1234,0,raw,positive,global,high,0.0,accuracy,0.819954128440367
sst2,direct,1234,1234,0,raw,positive,global,high,0.0,nll,0.5458835959434509
sst2,direct,1234,1234,0,raw,positive,global,high,0.0,ece,0.11188451638995184
sst2,direct,1234,1234,0,raw,positive,global,high,0.001,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.001,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.001,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.005,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.005,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.005,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.01,accuracy,0.4908256880733945
sst2,direct,1234,1234,0,raw,positive,global,high,0.01,nll,0.6931471824645996
sst2,direct,1234,1234,0,raw,positive,global,high,0.01,ece,0.009174317121505737
sst2,direct,1234,1234,0,raw,positive,global,high,0.02,accuracy,0.4908256880733945
